sura_no,aya_no,aya_text,madd_6_Lazim,madd_246,madd_6,madd_2,Ikhfaa,Idgham,tafkhim,qalqala,imala
99.0,1.0,إِذَا زُلْزِلَتِ اِ۬لَارْضُ زِلْزَالَهَا,[-1],[-1],[-1],[-1],[-1],[-1],"[23, 24, 25, 26]",[-1],[-1]
99.0,2.0,وَأَخْرَجَتِ اِ۬لَارْضُ أَثْقَالَهَا,[-1],[-1],[-1],[-1],[-1],[-1],"[4, 5, 6, 7, 19, 20, 21, 22, 28, 29]",[-1],[-1]
99.0,3.0,وَقَالَ اَ۬لِانسَٰنُ مَا لَهَا,[-1],[-1],[-1],[17],[14],[-1],"[2, 3]",[-1],[-1]
99.0,4.0,يَوْمَئِذٖ تُحَدِّثُ أَخْبَارَهَا,[-1],[-1],[-1],[-1],[9],[-1],"[23, 24, 28, 29]",[-1],[-1]
99.0,5.0,بِأَنَّ رَبَّكَ أَوْح۪ىٰ لَهَا,[-1],[-1],[-1],[-1],"[4, 5, 6]",[-1],"[8, 9]",[-1],"[20, 21]"
99.0,6.0,يَوْمَئِذٖ يَصْدُرُ اُ۬لنَّاسُ أَشْتَاتاٗ,[-1],[-1],[-1],[-1],"[11, 12, 24, 25, 26]","[9, 23, 40]","[13, 14, 17, 18]",[-1],[-1]
99.0,7.0,لِّيُرَوَاْ اَعْمَٰلَهُمْ,[-1],[-1],[-1],[18],[-1],"[9, 10]","[5, 6]",[-1],[-1]
99.0,8.0,فَمَنْ يَّعْمَلْ مِثْقَالَ ذَرَّةٍ خَيْراٗ يَرَهُۥ,[-1],[-1],[-1],[-1],"[7, 8, 9, 33, 43, 44]","[4, 5, 41]","[21, 22, 29, 30, 31, 35, 36, 45, 46]",[-1],[-1]
99.0,9.0,وَمَنْ يَّعْمَلْ مِثْقَالَ ذَرَّةٖ شَرّاٗ يَرَهُۥ,[-1],[-1],[-1],[-1],"[7, 8, 9, 33, 42, 43]","[4, 5, 40]","[21, 22, 29, 30, 31, 37, 38, 44, 45]",[-1],[-1]
100.0,1.0,وَالْعَٰدِيَٰتِ ضَبْحاٗ,[-1],[-1],[-1],"[7, 12]",[-1],[2],"[16, 17]","[18, 19]",[-1]
100.0,2.0,فَالْمُورِيَٰتِ قَدْحاٗ,[-1],[-1],[-1],[12],[-1],[2],"[16, 17]","[18, 19]",[-1]
100.0,3.0,فَالْمُغِيرَٰتِ صُبْحاٗ,[-1],[-1],[-1],[12],[-1],[2],"[7, 8, 16, 17]","[18, 19]",[-1]
100.0,4.0,فَأَثَرْنَ بِهِۦ نَقْعاٗ,[-1],[-1],[-1],[15],[-1],[-1],"[6, 7]","[19, 20]",[-1]
100.0,5.0,فَوَسَطْنَ بِهِۦ جَمْعاً,[-1],[-1],[-1],[15],[-1],[-1],[-1],"[6, 7]",[-1]
100.0,6.0,اِنَّ اَ۬لِانسَٰنَ لِرَبِّهِۦ لَكَنُودٞ,[-1],[36],[-1],"[15, 28]","[2, 3, 4, 12]",[-1],"[21, 22, 37]",[-1],[-1]
100.0,7.0,وَإِنَّهُۥ عَلَىٰ ذَٰلِكَ لَشَهِيدٞ,[-1],[32],[-1],"[9, 20]","[4, 5, 6]",[-1],[-1],[33],[-1]
100.0,8.0,وَإِنَّهُۥ لِحُبِّ اِ۬لْخَيْرِ لَشَدِيدٌ,[-1],[37],[-1],[9],"[4, 5, 6]",[-1],"[24, 25]",[38],[-1]
100.0,9.0,اَفَلَا يَعْلَمُ إِذَا بُعْثِرَ مَا فِے اِ۬لْقُبُورِ,[-1],[49],[-1],[-1],[-1],[-1],"[45, 46, 50]",[-1],[-1]
100.0,10.0,وَحُصِّلَ مَا فِے اِ۬لصُّدُورِ,[-1],[27],[-1],[-1],[-1],[21],"[4, 5, 6, 22, 23, 24, 28]",[-1],[-1]
100.0,11.0,إِنَّ رَبَّهُم بِهِمْ يَوْمَئِذٖ لَّخَبِيرٌ,[-1],[40],[-1],[-1],"[2, 3, 4]",[31],"[6, 7, 13, 36, 37]",[-1],[-1]
